	board	thread_no	post_no	subject	author	email	tripcode	capcode	date	user_id	body
0	erobbs	1392988791	1	Let's talk with Jim-san. Part24	名無し編集部員	sage			2014-02-21 22:19:51	UuGhZH6g	" このスレは、ピンクちゃんねる管理人のジムさんと英語でお話しようスレです 
英語できる人はできれば英語で書いてくださいな。 
ジムさんはとってもやさしいので、文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 
念のため日本語の原文を添えてもらえれば状況に応じて支援あるかも 

英語はどうしても無理、って人は日本語でどうぞ。 
文法が整っている簡単な日本語は、ジムさんが翻訳して読んでくれます。 

※:機械翻訳だけを書いても意味不明な場合がほとんどです。 
　　機械翻訳の場合日本語を添えると優しい人が翻訳してくれるかもしれません。 

Jim-san cap handles; 
xerxes.maido3.net＠Apparently admin ★ 
酉割れの話もあるので現在はvip40011.maido3.netや 
111.68.39.236(111.68.36.0/22)などでホンモノ表示を行っています。 

prev. thread 
Let's talk with Jim-san. Part23 
http://pele.bbspink.com/test/read.cgi/erobbs/1392901448/"
1	erobbs	1392988791	2		名無し編集部員	sage			2014-02-21 22:25:58	j6yIjWqF	" 適当にここらにもかきこしる 

【雑談】Let's cheer to Jim-san【応援】 
http://pele.bbspink.com/test/read.cgi/erobbs/1284028058/ 

言いたいことだけ言って立ち去るスレッドPART16 
http://pele.bbspink.com/test/read.cgi/erobbs/1377422373/ 

Jimさん関連の雑談所 
http://pele.bbspink.com/test/read.cgi/erobbs/1392979910/ 

Jimさんたちにお願いごとをするスレ。1陳情目 
http://pele.bbspink.com/test/read.cgi/erobbs/1392905889/ 

wiki(とりあえず、勝手に書き込んだりまとめたりできるとこ) 
http://www59.atwiki.jp/bba1267b7d7de26b/"
2	erobbs	1392988791	3		鼻毛大佐	sage	XsakuXqMzHeD		2014-02-21 22:28:23	vaXaSXZ+	" テンプレ追加 
685 名前：名無し編集部員[sage] 投稿日：2014/02/21(金) 14:58:15.55 ID:42By/IFJ [3/5] 
Please ignore this. 
アフィリエイト問題は先送りとなっことを、次スレのテンプレートに入れましょう 
同じ話がループする。"
3	erobbs	1392988791	4		名無し編集部員				2014-02-21 22:33:07	BIv8Q1it	" そうだな 
無断転載してるまとめアフィ糞を潰せば2chが潤う 
↑これ以上の答えは無いし 
JIMも同じ考えだから話しても無断"
4	erobbs	1392988791	5		名無し編集部員				2014-02-21 22:37:36	MTI47QeT	 >>1Otu
5	erobbs	1392988791	6		名無し編集部員	sage			2014-02-21 22:45:24	kROlMOEa	 今のところ何について話してるのか誰か教えてエロい人
6	erobbs	1392988791	7		無銘	sage	r8dzmuHmmn8x		2014-02-21 22:46:02	Lt0r37ht	" Jimさんに直接に何かを言いたいわけではないけど、Jimさんに関連する雑談がしたい方はこちらへ。 
Jimさん関連の雑談所 
http://pele.bbspink.com/test/read.cgi/erobbs/1392979910/ 

まとめサイトの話は、それよりも優先順位の高い話が終わってから。 
（ジムさん＝xerxes.maido3.net＠Apparently admin ★） 
http://pele.bbspink.com/test/read.cgi/erobbs/1392901448/49- 

49 名前：名無し編集部員[] 投稿日：2014/02/20(木) 23:48:05.24 ID:G523YNXx 
jim-san 
I guess now you have better deal with primally　problems you are facing right now. 
We can talk about matomesaito after they got solved. 

329 名前：xerxes.maido3.net＠Apparently admin ★[] 投稿日：2014/02/21(金) 09:59:29.40 ID:??? 
>>49 
Yes, you are correct, there are some primary 
things that have to be dealt with first. 
（訳：まとめサイト云々よりも優先順位が高い問題がある。 
まとめサイトに関することは優先順位が高い問題が終わった後にしよう。）"
7	erobbs	1392988791	8		名無し編集部員				2014-02-21 22:51:36	54mnHKc6	" 前スレから 

＞966 ：Code Monkey ★：2014/02/21(金) 22:02:32.58 ID:???I just checked ninja.2ch.net.  
 ＞So far I have found nothing that logs user details beyond what is necessary for the ninja system to work correctly.  

It means that the rumor that  
in Ninpouchou server each Ninja ID's writing history is recorded 
turned out false? 


What is ""nothing that logs user details beyond what is necessary for the ninja system to work correctly""? 
Would you please tell us concretely what was preserved in Ninja server?   

I really appreciate your help."
8	erobbs	1392988791	9					Code Monkey	2014-02-21 23:01:12	???	" >>8 
Please wait a moment, I will show you what the database on the ninja server looks like."
9	erobbs	1392988791	10					Code Monkey	2014-02-21 23:05:09	???	" mysql> select * from chinabokan limit 10; 

+----------------------------+------------+------+------+------+------+------+------+------------+ 
| key01                      | c00        | c01  | c02  | c03  | c04  | c05  | c06  | c07        | 
+----------------------------+------------+------+------+------+------+------+------+------------+ 
| Danime1375007498009176     | 1392817967 | 1    |      |      |      |      |      | 1392819720 | 
| Dnews4vip1380885646980424  | 1392964900 | 1    |      |      |      |      |      | 1392965132 | 
| Dnewsplus1381114018595306  | 1391404375 | 1    |      |      |      |      |      | 1391404654 | 
| Dasaloon1366703879331048   | 1392855065 | 1    |      |      |      |      |      | 1392911130 | 
| Dgiin1382514070691111      | 1392825876 | 1    |      |      |      |      |      | 1392825920 | 
| Dnews4vip1390903669734016  | 1392962047 | 1    |      |      |      |      |      | 1392964176 | 
| Danichara21358008648590391 | 1392115488 | 1    |      |      |      |      |      | 1392722845 | 
| Dnewsplus1315110873447435  | 1392677142 | 1    |      |      |      |      |      | 1392678536 | 
| Dbike1373543010549845      | 1392967243 | 1    |      |      |      |      |      | 1392967293 | 
| Dnewsplus1311047839320618  | 1338262559 | 1    |      |      |      |      |      | 1391053626 | 
+----------------------------+------------+------+------+------+------+------+------+------------+"
