	thread_no	post_no	subject	author	tripcode	capcode	date	user_id	body
0	1178546129	1	Let's talk with Jim-san. Part5	名無し編集部員			2007-05-07 22:55:29	eINQz6vM	" Let's talk with Jim-san , who is the manager of bbspink.com. 
If you can write your questions or some other things in English, 
please write them in English. 

Since Jim-san is very kind, 
so that in case you get spelling error, 
or write in incorrect grammar, 
he will be able to understand what you want to say. 

Those who cannot understand English may write them in Japanese. 
Accommodating persons will translate for you. 

このスレッドは、ピンクちゃんねるの管理人さんのジムさんと 
英語でお話しようスレです。 
英語できる人は、できれば英語で書いてくださいな。 
ジムさんは、とってもやさしいので 
文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 

英語はどうしても無理、って人は日本語でどうぞ。 
親切な人がきっと翻訳してくれます。 

Jim-san cap handle. 
Jim ◆6P7QkQf8Ys ＠Apparently admin ★ 

A previous thread 
Let's talk with Jim-san. Part4 
http://pie.bbspink.com/test/read.cgi/erobbs/1158087534/"
1	1178546129	2			79EROOYuCc		2007-05-08 01:22:01	ASTiI0F3	" >>1さん　スレ立てお疲れさまです、ありがとうございます。 

>>1　thank you for your making this new thread."
2	1178546129	3			QE3get/L0E		2007-05-10 13:14:25	6seGkOeN	" Itadakiさんの便利な翻訳ツール置いときますね 

Let's talk with Jim-san! 
http://2chs.net/letstalk.html"
3	1178546129	4		Itadaki	QNUItadakI		2007-05-10 14:02:23	avJXe5p2	 >>3 更新しました。
4	1178546129	5		名無し編集部員			2007-05-10 14:09:47	HeOawj//	" >>4 
乙つ！"
5	1178546129	6			79EROOYuCc		2007-05-11 15:13:50	zOCALU0T	" Itadakiさん、ありがとうございます。 

thank you, Itadaki-san"
6	1178546129	7		名無し編集部員			2007-05-16 14:20:51	UyFWCy9n	" To Mr.JIM 

Hello.  
There is a question.  
""Log of this site belongs to this all site"" on a bulletin board of a personal website.  
　I do it All rights reserved without permission. When I reprinted it without permission, I sue. ""  
It was specified so.  
However, there was the person whom I copied it and reprinted in Pink in defiance of it.  
When there was a deletion request directly, should it be deleted from a webmaster of a reprinted website?  
When a deletion person was accused without it being deleted, must a deletion person take responsibility? 


（Japanese) 
こんにちは。 
質問があります。 
他のウェブサイトの掲示板に 
「当サイトのログは総て当サイトに帰属します。 
　無断転載禁止します。許可無く転載した場合、訴訟をします。」 
そのように明記されていました。 
しかし、それを無視してPinkにコピー転載した人物が居ました。 
転載されたウェブサイトの管理人から削除依頼が直接あった時、それは消されるべきですか？ 
削除されず削除人が訴えられた時、削除人は責任を取らなければなりませんか？"
7	1178546129	8		名無し編集部員			2007-05-16 18:25:59	z2Jw/9rm	" >>7 
転載した人を訴えずに転載先を訴えるのはおかしい。 
おかしい要求は正義でなくテロです。"
8	1178546129	9		名無し編集部員			2007-05-17 19:44:43	7PYly9BQ	 ジムさん、アナルセックスをした事がありますか？気持ち良いですか？
9	1178546129	10		Jim	6P7QkQf8Ys		2007-05-18 11:12:02	i+NUOWym	" >>7 
I really don't understand this. Are you talking about requesting other sites 
delete threads of bbspink that they have copied? 
Like this for example: 
http://best-thread.xrea.jp/datas/cat/4232ascii.html"
