	board	thread_no	post_no	subject	author	email	tripcode	capcode	date	user_id	body
0	erobbs	1242314502	1	■児童ポルノ芋掘り議論■4		sage		POE	2009-05-15 00:21:42	???	" 児童ポルノ芋掘り関連についての議論スレです。 
思う存分議論してコンセンサスを形成してください。 

■関連スレッド 

■児童ポルノ芋堀・対外通報・対策・連絡専用■ 
http://babiru.bbspink.com/test/read.cgi/housekeeping/1220917179/ 
■ 児童ポルノ 通報・削除専用 ■ 
http://babiru.bbspink.com/test/read.cgi/housekeeping/1237412916/ 
■ 児童ポルノ 通報・削除（うｐ女神関係）専用 ■ 
http://babiru.bbspink.com/test/read.cgi/housekeeping/1221252584/ 
■18歳未満女神に認定された人の反論スレッド■ 
http://babiru.bbspink.com/test/read.cgi/housekeeping/1221431253/ 
□犯罪予告などなど【やってはいけません】 
http://venus.bbspink.com/test/read.cgi/ccc/1217752937/ 
叩き台のGL9について話合うスレ 
http://set.bbspink.com/test/read.cgi/erobbs/1157346405/ 

前スレ 
■児童ポルノ芋掘り議論■3 
http://set.bbspink.com/test/read.cgi/erobbs/1225206733/ 
■児童ポルノ芋掘り議論■ 
http://set.bbspink.com/test/read.cgi/erobbs/1221752423/ 
■児童ポルノ芋掘り議論■ 
http://set.bbspink.com/test/read.cgi/erobbs/1221223982/"
1	erobbs	1242314502	2		名無し編集部員	sage			2009-05-15 00:32:53	NMyzXIuy	" そもそも児童ポルノの定義が「衣服の全部又は一部を着けない児童の姿態」なのだが 
JKの脚はちゃんと制服を着てるんだから、これだけで一つのセットになってるので 
衣服を付けてる。水着と同じでしょ。 
パンチラは児童ポルノの可能性はあるが"
2	erobbs	1242314502	3		名無し編集部員	sage			2009-05-15 00:44:55	XgfUt8r2	" 日本の「いち警察官」に、「世界に名だたる、日本最大級アダルト掲示板」の削除基準をきいて、 
言質がとれるわけないでしょ。 

「削除基準は、亀有公園前派出所の両津さんにお尋ねして、これでいいって言われました」 

・・・・って、漫画ですか？ 


そんなことより、警察で身分を聞かれたでしょう。 
本名なんか、　当　然　、言わなかったでしょうね？ 
住民登録からデータベース化されていますから、理由なんかいくらでもつけて、やってきますよ。 

日本の警察の本質は、戦前の特高警察と全然変わってないからね。 
法律的に正しい／正しくない、なんていう議論は　無　駄　なんです。 

世論の突き上げがあったら、 
強いところではなく、まず弱いところへ。 
捜査が難しいところではなく、簡単なところへ。 

スケープゴートさえ見つけて逮捕できれば、面子が保てる。 
これが警察です。"
3	erobbs	1242314502	4			sage		削魔除	2009-05-15 00:55:24	???	" 私だけの逮捕は別にいいんですけどね 
ほかのかたが芋づるにならないようにはしています 
元からほかの削除人のメアド、連絡先等は知っていないですが。"
4	erobbs	1242314502	5			sage		削魔除	2009-05-15 00:57:20	???	" ＞POEさん 
薬は持病の一生物なので（いちせいぶつではないです　笑）お気になさらず〜 

>>2 
児童ポルノの話と別に色々ありますでしょ 


ちょっと再起動します"
5	erobbs	1242314502	6		名無し編集部員	sage			2009-05-15 00:58:08	ld8X9zFI	" >>3 
同意。削除魔の顛末を聞いて、そこが一番心配。 
エロサイトをつぶして点数稼ぎたいと思ったら、 
彼らはやります。 
だから、削除人を離れることがBBSにも本人にも 
重要。 

警察官が、「変わった人だったねえ」と受け止めて 
終わってくれることを祈るしかない。 

こうしているうちにも、ここを警察に読まれていることも普 
通にある。 

Jimの弁護士の相談をしといた方がよい。 

削除魔はここに顛末を書いた時点で、警察に、削除魔の 
ポジションは嘘ではなかったと裏付けてしまった。 
児童ポルノのガイドラインとしてではなく、削除魔の身分を 
守るためにDon't talk だった。"
6	erobbs	1242314502	7		翔	sage	KEEa96Ecz.		2009-05-15 00:58:22	YzgHvfBH	" ＞私だけの逮捕は別にいいんですけどね 
良くねぇよ！！ 
もっと自分を大切にしろ！ 

体調悪そうなんでお大事に…"
7	erobbs	1242314502	8			sage		削魔除	2009-05-15 01:11:50	???	" >>7　＞ここでは名無しで書けさん 
そのくらいの気でないとさ、リーダーやりますとかさ、言えないと思うのよ"
8	erobbs	1242314502	9		名無し編集部員	sage			2009-05-15 01:14:40	2gnS0L5j	 警察に身元バレてる削魔除がリーダー？笑わせるな
9	erobbs	1242314502	10		名無し編集部員	sage			2009-05-15 01:18:11	XgfUt8r2	" >>4 
>私だけの逮捕は別にいいんですけどね  

実際に、現実実を帯びてきた場合は、全然違う感想になるでしょう。 

>>9 
ガサが入ったら、全部引っこ抜かれますからね。 
ICQからMSNから、ありとあらゆる記録、何から何まで、全部もっていかれます。 
そんな人に、誰が自分の情報を渡したいと思うでしょうか。 

自分の身を守れない人が、他人の身を守れるわけないでしょう。"
